trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.0075, 'e': 0.9530932396415428}",20,7,-60.62716385799852,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.0075, 'e': 0.9507963789140532}",25,0,-118.47470986210926,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.0075, 'e': 0.9484460361409476}",25,0,-87.48256524345959,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
45,False,"{'a': 0.0075, 'e': 0.946042343528387}",30,0,-90.48202624193766,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
46,False,"{'a': 0.0075, 'e': 0.9435854362834473}",25,0,-129.10274706107475,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
47,False,"{'a': 0.0075, 'e': 0.941075452606513}",25,8,-80.35086785669559,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
48,False,"{'a': 0.0075, 'e': 0.9385125336835043}",30,0,-91.68436775150361,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
49,False,"{'a': 0.0075, 'e': 0.9358968236779348}",25,0,-275.2886694320582,"{0: 7, 1: 4, 2: 8, 3: 3, 4: 3}",0
50,False,"{'a': 0.0075, 'e': 0.9332284697228027}",25,0,-269.65363344370564,"{0: 11, 1: 1, 2: 6, 3: 3, 4: 4}",0
51,False,"{'a': 0.0075, 'e': 0.9305076219123143}",20,0,-98.91646047319415,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.0075, 'e': 0.9277344332934415}",20,0,-88.4550972767577,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
53,False,"{'a': 0.0075, 'e': 0.9249090598573131}",25,0,-85.83276742969835,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.0075, 'e': 0.9220316605304396}",30,5,-43.66724926668504,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",1
55,False,"{'a': 0.0075, 'e': 0.9191023971657748}",25,0,-67.31889713176137,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
56,False,"{'a': 0.0075, 'e': 0.9161214345336103}",20,0,-96.05426118656574,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
57,False,"{'a': 0.0075, 'e': 0.9130889403123083}",30,0,-151.3242088741518,"{0: 15, 1: 7, 2: 5, 3: 2, 4: 1}",0
58,False,"{'a': 0.0075, 'e': 0.9100050850788691}",30,0,-124.49483811335843,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
59,False,"{'a': 0.0075, 'e': 0.9068700422993367}",20,2,-62.64589377088261,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 0}",1
60,False,"{'a': 0.0075, 'e': 0.9036839883190404}",20,11,-70.676852363668,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.0075, 'e': 0.900447102352677}",20,0,-31.986739862116536,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
62,False,"{'a': 0.0075, 'e': 0.8971595664742282}",20,0,-119.05978069020156,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.0075, 'e': 0.8938215656067205}",20,0,-73.4254469254129,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
64,False,"{'a': 0.0075, 'e': 0.8904332875118228}",25,0,-26.362404793361332,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.0075, 'e': 0.8869949227792842}",20,14,-40.85732626421332,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.0075, 'e': 0.8835066648162144}",20,0,-127.34973586354492,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.0075, 'e': 0.8799687098362042}",25,0,-171.85673705855268,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
68,False,"{'a': 0.0075, 'e': 0.8763812568482883}",20,0,1.4032520937406536,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.0075, 'e': 0.8727445076457513}",20,0,-13.50922522976309,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.0075, 'e': 0.869058666794777}",20,0,-65.63730203302559,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
71,False,"{'a': 0.0075, 'e': 0.8653239416229412}",35,9,-102.79162070303448,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 2}",1
72,False,"{'a': 0.0075, 'e': 0.8615405422075505}",20,0,-80.88193650818445,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
73,False,"{'a': 0.0075, 'e': 0.8577086813638242}",20,10,-59.367377281535845,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
74,False,"{'a': 0.0075, 'e': 0.8538285746329243}",25,16,-11.782432859397257,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.0075, 'e': 0.8499004402698316}",25,0,-153.2514205114182,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
76,False,"{'a': 0.0075, 'e': 0.8459244992310679}",30,0,-80.52034273712864,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
77,False,"{'a': 0.0075, 'e': 0.8419009751622688}",20,6,-71.36030296318745,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.0075, 'e': 0.8378300943856019}",20,0,-116.60095053001567,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
79,False,"{'a': 0.0075, 'e': 0.8337120858870376}",20,0,-11.958278890532556,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.0075, 'e': 0.8295471813034682}",35,0,-115.95853028242504,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
81,False,"{'a': 0.0075, 'e': 0.8253356149096783}",20,0,-26.849197975918173,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
82,False,"{'a': 0.0075, 'e': 0.8210776236051671}",25,10,-24.217443036543585,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
83,False,"{'a': 0.0075, 'e': 0.8167734469008229}",30,12,-61.97566651806307,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 0}",1
84,False,"{'a': 0.0075, 'e': 0.8124233269054502}",20,0,-29.458667166759287,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
85,False,"{'a': 0.0075, 'e': 0.8080275083121519}",20,0,-5.924666401653143,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
86,False,"{'a': 0.0075, 'e': 0.8035862383845647}",35,0,-117.82770267601238,"{0: 25, 1: 1, 2: 5, 3: 3, 4: 1}",0
87,False,"{'a': 0.0075, 'e': 0.7990997669429512}",25,2,-114.58724473748046,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 1}",1
88,False,"{'a': 0.0075, 'e': 0.7945683463501467}",20,0,-84.01973292460657,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.0075, 'e': 0.7899922314973651}",20,0,-110.06955906360656,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
90,False,"{'a': 0.0075, 'e': 0.78537167978986}",30,15,-102.46044112915624,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1
91,False,"{'a': 0.0075, 'e': 0.7807069511324469}",30,0,-141.66816326855945,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
92,False,"{'a': 0.0075, 'e': 0.7759983079148826}",25,4,-119.87586056892921,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 2}",1
93,False,"{'a': 0.0075, 'e': 0.7712460149971067}",25,0,-194.05806415528656,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
94,False,"{'a': 0.0075, 'e': 0.7664503396943425}",30,11,-93.24801622775576,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 2}",1
95,False,"{'a': 0.0075, 'e': 0.7616115517620617}",20,0,2.1791007552298325,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.0075, 'e': 0.7567299233808094}",30,0,-128.0823995779692,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
97,False,"{'a': 0.0075, 'e': 0.751805729140895}",20,0,-99.12831986295627,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
98,False,"{'a': 0.0075, 'e': 0.7468392460269461}",20,6,-87.73595230390066,"{0: 7, 1: 0, 2: 6, 3: 0, 4: 1}",1
99,False,"{'a': 0.0075, 'e': 0.7418307534023283}",20,9,-65.15691991315954,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.0075, 'e': 0.736780532993431}",20,0,-98.5684895370567,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
101,False,"{'a': 0.0075, 'e': 0.7316888688738209}",25,0,-103.95689989495658,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.0075, 'e': 0.7265560474482621}",20,11,5.534764075578676,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.0075, 'e': 0.7213823574366063}",20,10,5.130040651044798,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.0075, 'e': 0.7161680898575525}",20,0,-19.51655671052205,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.0075, 'e': 0.7109135380122773}",25,11,-71.37148630873743,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 2}",1
106,False,"{'a': 0.0075, 'e': 0.7056189974679365}",30,5,-110.38387680487408,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",1
107,False,"{'a': 0.0075, 'e': 0.7002847660410398}",30,0,-143.90766116676855,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
108,False,"{'a': 0.0075, 'e': 0.6949111437806982}",20,2,-53.57561779302409,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.0075, 'e': 0.6894984329517471}",20,0,-137.96838011066956,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
110,False,"{'a': 0.0075, 'e': 0.6840469380177434}",25,13,-24.94235973934107,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.0075, 'e': 0.6785569656238399}",25,0,-109.92643072571134,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
112,False,"{'a': 0.0075, 'e': 0.6730288245795362}",30,0,-62.59836946897559,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.0075, 'e': 0.6674628258413082}",20,0,-26.70055726998056,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
