trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-114.21179247263542,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-166.5149068341017,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-127.17658402893164,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-135.58528516732306,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",35,0,-222.66754441476422,"{0: 17, 1: 4, 2: 8, 3: 5, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-155.30753694036437,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-187.88453447549637,"{0: 11, 1: 0, 2: 12, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-149.99440168061628,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-67.31704539180747,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-145.4416457080056,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,9,-28.856466904193883,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-141.70425852657814,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-136.5858647172758,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
