trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.05, 'e': 0.12873490358780418}",20,7,-43.46087190165917,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
43,False,"{'a': 0.05, 'e': 0.1224564282529819}",30,0,-177.6236678773515,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
44,False,"{'a': 0.05, 'e': 0.11648415777349697}",25,0,-55.07317921744829,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.05, 'e': 0.11080315836233387}",20,0,3.887842912566218,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.05, 'e': 0.10539922456186433}",20,0,-56.170641152065016,"{0: 16, 1: 0, 2: 1, 3: 3, 4: 0}",0
47,False,"{'a': 0.05, 'e': 0.1002588437228037}",20,0,-19.39584331202923,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
48,False,"{'a': 0.05, 'e': 0.09536916221554961}",20,0,-1.7038493399121055,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.05, 'e': 0.09071795328941247}",25,0,-91.29597843274847,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
50,False,"{'a': 0.05, 'e': 0.0862935864993705}",25,0,-85.77731437068564,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
51,False,"{'a': 0.05, 'e': 0.0820849986238988}",20,0,-27.44520037048545,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.05, 'e': 0.07808166600115313}",30,0,-5.004726104204321,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.05, 'e': 0.07427357821433388}",30,0,-104.20047814553621,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.05, 'e': 0.07065121306042957}",30,0,-85.76636413801073,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.05, 'e': 0.06720551273974976}",20,0,-12.958500482628425,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
56,False,"{'a': 0.05, 'e': 0.06392786120670757}",20,0,26.376904387629793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.05, 'e': 0.06081006262521795}",25,0,-14.180208315711232,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.05, 'e': 0.057844320874838456}",20,0,-103.5859574109314,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
59,False,"{'a': 0.05, 'e': 0.05502322005640721}",20,0,22.36770340781456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.05, 'e': 0.05233970594843238}",25,0,-54.369908914063245,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.05, 'e': 0.049787068367863944}",30,0,-4.339053599069013,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.05, 'e': 0.04735892439114091}",25,0,-15.920656321919445,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
63,False,"{'a': 0.05, 'e': 0.0450492023935578}",20,0,-12.498918187765316,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
