trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.005, 'e': 0.941075452606513}",25,0,-88.64962824022975,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.005, 'e': 0.9393727128473789}",25,0,-145.16306296002188,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
72,False,"{'a': 0.005, 'e': 0.9376464888193493}",20,0,-65.05316617212537,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.005, 'e': 0.9358968236779348}",30,0,-137.6937494229293,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
74,False,"{'a': 0.005, 'e': 0.9341237611646731}",25,0,-173.62187566012278,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
75,False,"{'a': 0.005, 'e': 0.9323273456060345}",20,0,-27.27137639778265,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.005, 'e': 0.9305076219123143}",30,9,-37.69103723280037,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
77,False,"{'a': 0.005, 'e': 0.9286646355765102}",20,7,-7.719814751082766,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.005, 'e': 0.9267984326731847}",25,0,-68.68236349324418,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.005, 'e': 0.9249090598573131}",35,0,-75.58208811989763,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.005, 'e': 0.9229965643631173}",20,0,-121.82286743546977,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
81,False,"{'a': 0.005, 'e': 0.9210609940028851}",25,0,-101.91398170801713,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
82,False,"{'a': 0.005, 'e': 0.9191023971657747}",25,0,-93.70834429326354,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.005, 'e': 0.9171208228166051}",25,0,-70.52406153770777,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
84,False,"{'a': 0.005, 'e': 0.9151163204946318}",25,0,-85.79719456529705,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
85,False,"{'a': 0.005, 'e': 0.9130889403123083}",30,0,-175.21979149901424,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
86,False,"{'a': 0.005, 'e': 0.9110387329540337}",20,4,-77.59668506013938,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.005, 'e': 0.9089657496748851}",30,0,-166.93986214520433,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
88,False,"{'a': 0.005, 'e': 0.9068700422993367}",25,0,-198.9022803526164,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
89,False,"{'a': 0.005, 'e': 0.9047516632199635}",20,0,-117.12715594153521,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
90,False,"{'a': 0.005, 'e': 0.9026106653961321}",25,0,-133.4608994233873,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
91,False,"{'a': 0.005, 'e': 0.9004471023526769}",20,5,-40.109281288951486,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
