trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,0,-61.23915252789005,"{0: 22, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,13,-45.408098609173365,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-126.10821006025125,"{0: 7, 1: 7, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-133.46323953711064,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-118.32557384098017,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-88.61099786531632,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,7,-74.99357219227257,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 1}",1
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-252.02732821210057,"{0: 6, 1: 3, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-120.2724573979847,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-137.081773855985,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-162.88073812674855,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-101.06373166258933,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-143.0983451472309,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-130.65263514193904,"{0: 19, 1: 6, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-142.24104532512501,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-73.27100840834153,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,14,-7.870724292169518,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-65.50261236616124,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,18,-16.718017193561025,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,12,-42.78254131430772,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-80.20753446224066,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-154.8027367445294,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-156.90042529194858,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-182.95706130280973,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9713379748520297}",20,0,-55.638911201913174,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-64.6094053920149,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-65.98995333168438,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-114.88008056596291,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,6,-37.83981092007043,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,2,-188.52915825859807,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 4}",1
31,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-44.179231422484364,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-27.04629723158924,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,17,15.398913589732963,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-70.40408504039921,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-160.3956761386251,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-92.26618945757102,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9358968236779348}",35,0,-85.53936092943296,"{0: 23, 1: 7, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-133.91919970245485,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-114.0685626889558,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-138.55827773190595,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-106.66774718407142,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-64.6638801245791,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,0,-67.4556849806668,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-146.86844552775085,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-129.37124766024485,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,2,-109.47944132923818,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 2}",1
47,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-194.4479116462652,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,0,-48.15421770862921,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-107.99009015421936,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-79.54341113801995,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-81.62430084972536,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-92.27346940902831,"{0: 23, 1: 0, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-129.20535755361885,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-88.75083192828,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-142.51463181151746,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
